cd_localidade;nm_localidade;cd_setor;cd_sit;nm_sit;cd_uf;nm_uf;sigla_uf;cd_mun;nm_mun;cd_dist;nm_dist;cd_subdist;nm_subdist;cagece_sistema_de_abastecimento;lat(y);long(x)
"23116030500001601";Outeiro de Fora;"231160305000016";"5";Povoado;"23";Ceará;CE;"2311603";Redenção;"231160305";Redenção;"23116030500";;SISTEMA INTEGRADO DE REDENÇÃO;"-4.201417";"-38.736581"
"23116030500000100";Redenção;"231160305000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2311603";Redenção;"231160305";Redenção;"23116030500";;SISTEMA INTEGRADO DE REDENÇÃO;"-4.222958";"-38.729571"
"23117020500000100";Reriutaba;"231170205000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2311702";Reriutaba;"231170205";Reriutaba;"23117020500";;RSAA ERIUTABA;"-4.141568";"-40.584612"
"23118011000000100";Bonhu;"231180110000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2311801";Russas;"231180110";Bonhu;"23118011000";;BONHU;"-4.856206";"-38.162718"
"23118011500000100";Flores;"231180115000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2311801";Russas;"231180115";Flores;"23118011500";;FLORES;"-5.070832";"-38.063316"
"23118011500000600";Jardim de São José;"231180115000006";"5";Povoado;"23";Ceará;CE;"2311801";Russas;"231180115";Flores;"23118011500";;JARDIM DE SÃO JOSÉ;"-5.013134";"-38.048019"
"23118012000000100";São João de Deus;"231180120000001";"2";Área Urbana de Baixa Densidade de Edificações;"23";Ceará;CE;"2311801";Russas;"231180120";São João de Deus;"23118012000";;SÃO JOÃO DE DEUS;"-4.997023";"-38.007805"
"23119000500000100";Saboeiro;"231190005000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2311900";Saboeiro;"231190005";Saboeiro;"23119000500";;SABOEIRO;"-6.536433";"-39.904581"
"23119590500000100";Salitre;"231195905000001";"2";Área Urbana de Baixa Densidade de Edificações;"23";Ceará;CE;"2311959";Salitre;"231195905";Salitre;"23119590500";;SALITRE;"-7.284529";"-40.464752"
"23122051000001100";Lisieux;"231220510000011";"2";Área Urbana de Baixa Densidade de Edificações;"23";Ceará;CE;"2312205";Santa Quitéria;"231220510";Lisieux;"23122051000";;SAA ETA LISIEUX;"-3.999708";"-40.190474"
